01-01 00:00:07.974 I/BOOT    (  154): MSM target 'msm8960', SoC 'Surf', HwID '109', SoC ver '65536' 
01-02 13:00:00.840 I/qrngd   (  217): qrngd has started:
01-02 13:00:00.840 I/qrngd   (  217): Reading device:'/dev/hw_random' updating entropy for device:'/dev/random'
01-02 13:00:00.880 I/qcom-bluetooth(  222): /system/etc/init.qcom.bt.sh: init.qcom.bt.sh config = onboot 
01-02 13:00:01.921 E/Diag_Lib(  247): qpLogDiagInit ==>
01-02 13:00:01.921 E/Diag_Lib(  247): qpLogDiagInit <== result : 1
01-02 13:00:01.921 E/Diag_Lib(  247): [IMS_QMID] |imsqmiserver.c | 486 | QMID#$$#0#QMI DAEMON STARTED
01-02 13:00:01.921 E/Diag_Lib(  247): [IMS_QMID] |imsqmiserver.c | 496 | ims-qmi-daemon main entry getgid: bc2
01-02 13:00:01.921 E/Diag_Lib(  247): [IMS_QMID] |imsqmiserver.c | 505 | ims-qmi-daemon: Server Sock FD 9 received from init
01-02 13:00:01.921 E/Diag_Lib(  247): [IMS_QMID] |imsqmiserver.c | 518 | ims-qmi-daemon : Failed to set SO_REUSEADDR on 9 Fd, error number 0
01-02 13:00:01.921 E/Diag_Lib(  247): [IMS_QMID] |imsqmiserver.c | 89 | QMIDAddFDToFDSet:Added FD: [9] to FDSet
01-02 13:00:01.921 E/Diag_Lib(  247): [IMS_QMID] |imsqmiserver.c | 525 | QMID#$$#0#QMID SERVER STARTED
01-02 13:00:01.921 E/Diag_Lib(  247): [IMS_QMID] |imsqmiserver.c | 536 | ims-qmi-daemon chmod 660 : /dev/socket/ims_qmid done
01-02 13:00:01.921 E/Diag_Lib(  247): [IMS_QMID] |imsqmiserver.c | 547 | ims-qmi-daemon listen done
01-02 13:00:01.921 I/Atfwd_Daemon(  256): default_qmi_port left as-is to (null)
01-02 13:00:01.921 I/Atfwd_Daemon(  256): APQ baseband : Explicitly stopping ATFWD service....
01-02 13:00:01.921 I/Atfwd_Daemon(  256): Stop the daemon....
01-02 13:00:01.961 D/libEGL  (  209): loaded /vendor/lib/egl/libEGL_adreno.so
01-02 13:00:01.971 D/libEGL  (  209): loaded /vendor/lib/egl/libGLESv1_CM_adreno.so
01-02 13:00:01.981 D/libEGL  (  209): loaded /vendor/lib/egl/libGLESv2_adreno.so
01-02 13:00:02.011 D/alsa_ucm(  212): Single config file format detected
01-02 13:00:02.051 D/QC-time-services(  269): Daemon:genoff_pre_init::Base = 0
01-02 13:00:02.051 D/QC-time-services(  269): Daemon:ats_rtc_init: Time read from RTC -- year = 70, month = 0,day = 1
01-02 13:00:02.051 D/QC-time-services(  269): Daemon:Value read from RTC seconds = 9000
01-02 13:00:02.051 D/QC-time-services(  269): Daemon:genoff_init_config: ATS_RTC initialized
01-02 13:00:02.051 D/QC-time-services(  269): Daemon:genoff_pre_init::Base = 1
01-02 13:00:02.051 D/QC-time-services(  269): Daemon: Storage Name: ats_1 
01-02 13:00:02.051 D/QC-time-services(  269): Daemon:Opening File: /data/time/ats_1
01-02 13:00:02.051 D/QC-time-services(  269): Daemon:time_persistent_memory_opr:Genoff Read operation 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Unable to open filefor read
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_post_init:Error in accessing storage
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_pre_init::Base = 2
01-02 13:00:02.061 D/QC-time-services(  269): Daemon: Storage Name: ats_2 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Opening File: /data/time/ats_2
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:time_persistent_memory_opr:Genoff Read operation 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Unable to open filefor read
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_post_init:Error in accessing storage
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_pre_init::Base = 3
01-02 13:00:02.061 D/QC-time-services(  269): Daemon: Storage Name: ats_3 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Opening File: /data/time/ats_3
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:time_persistent_memory_opr:Genoff Read operation 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Unable to open filefor read
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_post_init:Error in accessing storage
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_pre_init::Base = 4
01-02 13:00:02.061 D/QC-time-services(  269): Daemon: Storage Name: ats_4 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Opening File: /data/time/ats_4
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:time_persistent_memory_opr:Genoff Read operation 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Unable to open filefor read
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_post_init:Error in accessing storage
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_pre_init::Base = 5
01-02 13:00:02.061 D/QC-time-services(  269): Daemon: Storage Name: ats_5 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Opening File: /data/time/ats_5
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:time_persistent_memory_opr:Genoff Read operation 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Unable to open filefor read
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_post_init:Error in accessing storage
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_pre_init::Base = 6
01-02 13:00:02.061 D/QC-time-services(  269): Daemon: Storage Name: ats_6 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Opening File: /data/time/ats_6
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:time_persistent_memory_opr:Genoff Read operation 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Unable to open filefor read
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_post_init:Error in accessing storage
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_pre_init::Base = 7
01-02 13:00:02.061 D/QC-time-services(  269): Daemon: Storage Name: ats_7 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Opening File: /data/time/ats_7
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:time_persistent_memory_opr:Genoff Read operation 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Unable to open filefor read
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_post_init:Error in accessing storage
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_pre_init::Base = 8
01-02 13:00:02.061 D/QC-time-services(  269): Daemon: Storage Name: ats_8 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Opening File: /data/time/ats_8
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:time_persistent_memory_opr:Genoff Read operation 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Unable to open filefor read
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_post_init:Error in accessing storage
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_pre_init::Base = 9
01-02 13:00:02.061 D/QC-time-services(  269): Daemon: Storage Name: ats_9 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Opening File: /data/time/ats_9
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:time_persistent_memory_opr:Genoff Read operation 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Unable to open filefor read
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_post_init:Error in accessing storage
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_pre_init::Base = 10
01-02 13:00:02.061 D/QC-time-services(  269): Daemon: Storage Name: ats_10 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Opening File: /data/time/ats_10
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:time_persistent_memory_opr:Genoff Read operation 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Unable to open filefor read
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_post_init:Error in accessing storage
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_pre_init::Base = 11
01-02 13:00:02.061 D/QC-time-services(  269): Daemon: Storage Name: ats_11 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Opening File: /data/time/ats_11
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:time_persistent_memory_opr:Genoff Read operation 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Unable to open filefor read
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_post_init:Error in accessing storage
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_pre_init::Base = 12
01-02 13:00:02.061 D/QC-time-services(  269): Daemon: Storage Name: ats_12 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Opening File: /data/time/ats_12
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:time_persistent_memory_opr:Genoff Read operation 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Unable to open filefor read
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_post_init:Error in accessing storage
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_pre_init::Base = 13
01-02 13:00:02.061 D/QC-time-services(  269): Daemon: Storage Name: ats_13 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Opening File: /data/time/ats_13
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:time_persistent_memory_opr:Genoff Read operation 
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Unable to open filefor read
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_post_init:Error in accessing storage
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_init_config: Other bases initilized, exiting genoff_init
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:genoff_opr: Base = 1, val = 0, operation = 1
01-02 13:00:02.061 D/QC-time-services(  269): Daemon: genoff get for 1
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:rtc_get: Time read from RTC -- MM/DD/YY HH:MM:SS0/1/70 0:0:9
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Value read from RTC seconds = 9000
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Value read from RTC seconds = 9000
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Value read from generif offset = 0
01-02 13:00:02.061 D/QC-time-services(  269): Daemon:Final Time = 9000
01-01 00:00:09.190 E/QCNEA   (  254): CnE Standard Version 4.01
01-01 00:00:09.190 E/QCNEA   (  254): CnE Pro Version 1.01
01-01 00:00:09.190 E/QCNEA   (  254): Cne WQE Version 0.1
01-01 00:00:09.190 E/QCNEA   (  254): Cne NSRM Version 1.01
01-01 00:00:09.190 E/Diag_Lib(  254): qmi_init:  Not initialized, calling process init sequence
01-01 00:00:09.190 E/Diag_Lib(  254): Setting internal use port to rmnet0
01-01 00:00:09.230 I/rmt_storage(  333): No EBR found
01-01 00:00:09.230 I/rmt_storage(  333): Error (-1) parsing MBR partitions
01-01 00:00:09.230 I/rmt_storage(  333): Registering modemst1: 0x4a /boot/modem_fs1
01-01 00:00:09.230 I/rmt_storage(  333): Registering modemst2: 0x4b /boot/modem_fs2
01-01 00:00:09.230 I/rmt_storage(  333): Registering fsg: 0x58 /boot/modem_fsg
01-01 00:00:09.230 I/rmt_storage(  333): Registering ssd: 0x5d ssd
01-01 00:00:09.230 I/rmt_storage(  333): 4 GPT partitions found
01-01 00:00:09.250 E/PPDaemon(  258): Failed to open the config file!
01-01 00:00:09.260 I/Adreno-EGL(  209): <qeglDrvAPI_eglInitialize:381>: EGL 1.4 QUALCOMM build: AU_LINUX_ANDROID_KK_2.7_RB1.04.04.02.007.040_msm8960_KK_2.7_RB1_CL3869936_release_AU (CL3869936)
01-01 00:00:09.260 I/Adreno-EGL(  209): OpenGL ES Shader Compiler Version: 17.01.12.SPL
01-01 00:00:09.260 I/Adreno-EGL(  209): Build Date: 02/24/14 Mon
01-01 00:00:09.260 I/Adreno-EGL(  209): Local Branch: 
01-01 00:00:09.260 I/Adreno-EGL(  209): Remote Branch: quic/kk_2.7_rb1.28
01-01 00:00:09.260 I/Adreno-EGL(  209): Local Patches: NONE
01-01 00:00:09.260 I/Adreno-EGL(  209): Reconstruct Branch: AU_LINUX_ANDROID_KK_2.7_RB1.04.04.02.007.040 + adff0e1 + fed91a3 + f6acee5 + 7174af8 + e088f4b +  NOTHING
01-01 00:00:09.350 E/mm-camera(  246): qcamsvr_load_gesture_lib Error opening gesture library
01-01 00:00:09.350 E/mm-camera(  246): Cannot init Gesture library
01-01 00:00:09.360 E/Diag_Lib(  247): [IMS_QMID] |imsqmiserver.c | 556 | QMID#$$#0#QMI DAEMON PROPERTY SET SUCCESS
01-01 00:00:09.360 E/Diag_Lib(  247): [IMS_QMID] |imsqmiserver.c | 567 | QMID#$$#0#QMID STARTED HEAR BEAT
01-01 00:00:09.360 E/Diag_Lib(  247): [IMS_QMID] |imsqmiserver.c | 580 | QMID#$$#0#QMID STARTED RECOVERY SIGNAL HANDLERS
01-01 00:00:09.360 E/Diag_Lib(  247): [IMS_QMID] |imsqmiserver.c | 601 | ims-qmi-daemon blocking on select max_fd:9
01-01 00:00:09.390 E/wcnss_service(  271): CAL file not found
01-01 00:00:09.430 W/OSAL    (  332): Read config params from file /etc/quipc.conf
01-01 00:00:09.430 E/wcnss_service(  271): Failed to open wcnss device : Bad address
01-01 00:00:09.430 W/OSAL    (  335): Read config params from file /etc/quipc.conf
01-01 00:00:09.460 W/OSAL    (  332): *(QUIPS_SERVER_URL) = (https://n3.indoor.izat-location.net/quipsds/LookupService)
01-01 00:00:09.460 W/OSAL    (  332): quipc_conf_read_from_file: PARAM QUIPS_SERVER_URL = https://n3.indoor.izat-location.net/quipsds/LookupService
01-01 00:00:09.460 W/OSAL    (  332): *(RAS_SERVER_URL) = (https://r1.indoor.izat-location.net/ras/DeviceRegistration)
01-01 00:00:09.460 W/OSAL    (  332): quipc_conf_read_from_file: PARAM RAS_SERVER_URL = https://r1.indoor.izat-location.net/ras/DeviceRegistration
01-01 00:00:09.460 W/OSAL    (  332): *(SSID_PWD) = (qu1pspsk)
01-01 00:00:09.460 W/OSAL    (  332): quipc_conf_read_from_file: PARAM SSID_PWD = qu1pspsk
01-01 00:00:09.460 W/OSAL    (  335): *(QUIPS_SERVER_URL) = (https://n3.indoor.izat-location.net/quipsds/LookupService)
01-01 00:00:09.460 W/OSAL    (  335): quipc_conf_read_from_file: PARAM QUIPS_SERVER_URL = https://n3.indoor.izat-location.net/quipsds/LookupService
01-01 00:00:09.460 W/OSAL    (  335): *(RAS_SERVER_URL) = (https://r1.indoor.izat-location.net/ras/DeviceRegistration)
01-01 00:00:09.460 W/OSAL    (  335): quipc_conf_read_from_file: PARAM RAS_SERVER_URL = https://r1.indoor.izat-location.net/ras/DeviceRegistration
01-01 00:00:09.460 W/OSAL    (  335): *(SSID_PWD) = (qu1pspsk)
01-01 00:00:09.460 W/OSAL    (  335): quipc_conf_read_from_file: PARAM SSID_PWD = qu1pspsk
01-01 00:00:09.460 I/QCALOG  (  335): [LOWIClient] createInstance ()
01-01 00:00:09.460 W/QCALOG  (  335): [LOWIMsgQ] pop 0: deprecated.
01-01 00:00:09.480 I/QCALOG  (  335): [MessageQ_Client] connecting to server [/data/misc/location/mq/location-mq-s]
01-01 00:00:09.490 E/QCALOG  (  335): [MessageQ_Client] connect error: 111, [Connection refused]
01-01 00:00:09.490 E/QCALOG  (  335): [MessageQ_Client] connect failed 3
01-01 00:00:09.490 W/QCALOG  (  335): [LOWIClientReceiver] connect failed
01-01 00:00:09.560 E/QC-time-services(  269): Daemon:genoff_boot_tod_init: Unable to set TOD at boot up
01-01 00:00:09.560 E/QC-time-services(  269): Daemon: Unable to set TOD at boot up
01-01 00:00:09.560 D/QC-time-services(  269): Daemon:genoff_modem_qmi_init: Initiallizing QMI 
01-01 00:00:09.560 E/QC-time-services(  269): Daemon:genoff_modem_qmi_init: qmi_client_get_service_list returned -2num_services 0
01-01 00:00:09.610 D/qdoverlay(  209): initoverlay:: opening the device:: /dev/graphics/fb0
01-01 00:00:09.610 D/qdoverlay(  209): initoverlay:: opening the device:: /dev/graphics/fb1
01-01 00:00:09.610 D/qdoverlay(  209): initoverlay:: opening the device:: /dev/graphics/fb2
01-01 00:00:09.610 E/PPDaemon(  258): Panel type: 8
01-01 00:00:09.640 I/qdhwcomposer(  209): Initializing Qualcomm Hardware Composer
01-01 00:00:09.640 I/qdhwcomposer(  209): MDP version: 440
01-01 00:00:09.640 I/SurfaceFlinger(  209): Using composer version 1.3
01-01 00:00:09.640 I/qdhwcomposer(  209): hwc_registerProcs
01-01 00:00:09.640 I/qdhwcomposer(  209): Initializing UEVENT Thread
01-01 00:00:09.640 I/qdhwcomposer(  209): Initializing VSYNC Thread
01-01 00:00:09.640 D/qdhwcomposer(  209): hwc_getDisplayAttributes disp = 0, width = 480
01-01 00:00:09.640 D/qdhwcomposer(  209): hwc_getDisplayAttributes disp = 0, height = 864
01-01 00:00:09.640 I/SurfaceFlinger(  209): EGL informations:
01-01 00:00:09.640 I/SurfaceFlinger(  209): vendor    : Android
01-01 00:00:09.640 I/SurfaceFlinger(  209): version   : 1.4 Android META-EGL
01-01 00:00:09.640 I/SurfaceFlinger(  209): extensions: EGL_KHR_get_all_proc_addresses EGL_ANDROID_presentation_time EGL_KHR_image EGL_KHR_image_base EGL_KHR_lock_surface EGL_KHR_gl_texture_2D_image EGL_KHR_gl_texture_cubemap_image EGL_KHR_gl_renderbuffer_image EGL_KHR_fence_sync EGL_KHR_create_context EGL_EXT_create_context_robustness EGL_ANDROID_image_native_buffer EGL_KHR_wait_sync EGL_ANDROID_recordable 
01-01 00:00:09.640 I/SurfaceFlinger(  209): Client API: OpenGL_ES
01-01 00:00:09.640 I/SurfaceFlinger(  209): EGLSurface: 8-8-8-8, config=0x5
01-01 00:00:09.850 I/SurfaceFlinger(  209): OpenGL ES informations:
01-01 00:00:09.850 I/SurfaceFlinger(  209): vendor    : Qualcomm
01-01 00:00:09.850 I/SurfaceFlinger(  209): renderer  : Adreno (TM) 320
01-01 00:00:09.850 I/SurfaceFlinger(  209): version   : OpenGL ES 3.0 V@45.0 AU@04.04.02.007.040 (CL@3869936)
01-01 00:00:09.850 I/SurfaceFlinger(  209): extensions: GL_AMD_compressed_ATC_texture GL_AMD_performance_monitor GL_AMD_program_binary_Z400 GL_EXT_debug_label GL_EXT_debug_marker GL_EXT_discard_framebuffer GL_EXT_robustness GL_EXT_texture_format_BGRA8888 GL_EXT_texture_type_2_10_10_10_REV GL_NV_fence GL_OES_compressed_ETC1_RGB8_texture GL_OES_depth_texture GL_OES_depth24 GL_OES_EGL_image GL_OES_EGL_image_external GL_OES_element_index_uint GL_OES_fbo_render_mipmap GL_OES_fragment_precision_high GL_OES_get_program_binary GL_OES_packed_depth_stencil GL_OES_depth_texture_cube_map GL_OES_rgb8_rgba8 GL_OES_standard_derivatives GL_OES_texture_3D GL_OES_texture_float GL_OES_texture_half_float GL_OES_texture_half_float_linear GL_OES_texture_npot GL_OES_vertex_half_float GL_OES_vertex_type_10_10_10_2 GL_OES_vertex_array_object GL_QCOM_alpha_test GL_QCOM_binning_control GL_QCOM_driver_control GL_QCOM_perfmon_global_mode GL_QCOM_extended_get GL_QCOM_extended_get2 GL_QCOM_tiled_rendering GL_QCOM_writeonly_rendering GL_EXT_sRGB GL_EXT_sRGB_write_control GL_EXT_text
01-01 00:00:09.850 I/SurfaceFlinger(  209): GL_MAX_TEXTURE_SIZE = 4096
01-01 00:00:09.850 I/SurfaceFlinger(  209): GL_MAX_VIEWPORT_DIMS = 4096
01-01 00:00:09.950 D/LocSvc_utils_cfg(  266): D/loc_read_conf: using /etc/gps.conf
01-01 00:00:09.950 D/LocSvc_utils_cfg(  266): D/loc_set_config_entry: PARAM DEBUG_LEVEL = 3
01-01 00:00:10.030 V/LOWI-SERVER(  407): [LOWIEventDispatcher] LOWIEventDispatcher
01-01 00:00:10.030 V/LOWI-SERVER(  407): [MessageQ_Client] creating client socket
01-01 00:00:10.030 I/LOWI-SERVER(  407): [MessageQ_Client] connecting to server [/data/misc/location/mq/location-mq-s]
01-01 00:00:10.040 I/LOWI-SERVER(  407): [MessageQ_Client] connected
01-01 00:00:10.040 V/LOWI-SERVER(  407): [LOWIController] init
01-01 00:00:10.040 E/QCALOG  (  385): [MessageQ] ProcessNewMessage: [NOT_REGISTERED:407] unknown deliver target [OS-Agent]
01-01 00:00:10.040 E/Diag_Lib(  407):  Diag_LSM_Init: Failed to open handle to diag driver, error = 13
01-01 00:00:10.040 E/LOWI-SERVER(  407): [LOWIDiagLog] Diag logging could not be enabled
01-01 00:00:10.180 E/Sensors (  414): sns_fsa_la.c(298):fflush failed, 9
01-01 00:00:10.180 E/Sensors (  414): sns_fsa_la.c(298):fflush failed, 9
01-01 00:00:10.290 D/AndroidRuntime(  210): 
01-01 00:00:10.290 D/AndroidRuntime(  210): >>>>>> AndroidRuntime START com.android.internal.os.ZygoteInit <<<<<<
01-01 00:00:10.320 D/AndroidRuntime(  210): CheckJNI is OFF
01-01 00:00:10.330 D/SurfaceFlinger(  209): Screen acquired, type=0 flinger=0xb85cb450
01-01 00:00:10.330 D/qdhwcomposer(  209): hwc_blank: Unblanking display: 0
01-01 00:00:10.360 E/alsa_ucm(  212): EC_REF_RX mixer ctl: SLIM_RX
01-01 00:00:10.370 E/alsa_ucm(  212): EC_REF_RX mixer ctl: SLIM_RX
01-01 00:00:10.370 E/alsa_ucm(  212): EC_REF_RX mixer ctl: SLIM_RX
01-01 00:00:10.370 E/alsa_ucm(  212): EC_REF_RX mixer ctl: SLIM_RX
01-01 00:00:10.370 E/alsa_ucm(  212): EC_REF_RX mixer ctl: SLIM_RX
01-01 00:00:10.380 W/Sensors (  414): sns_smr_la.c(446):smr_la: smr_apps_la_thread_main is starting, fd=18, sns_smr.en_rx_msg_ptr=b6fe22fc
01-01 00:00:10.390 E/alsa_ucm(  212): EC_REF_RX mixer ctl: SLIM_RX
01-01 00:00:10.390 E/alsa_ucm(  212): EC_REF_RX mixer ctl: SLIM_RX
01-01 00:00:10.390 E/alsa_ucm(  212): EC_REF_RX mixer ctl: SLIM_RX
01-01 00:00:10.510 D/qdhwcomposer(  209): hwc_blank: Done unblanking display: 0
